subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject06,6,25.0,45.0,1.215,72.9,0.9,54.0,54.0,-18.900000000000006,18.900000000000006,25.92592592592593
subject06,7,30.0,50.0,1.2012,72.07,1.05,63.0,66.0,-9.069999999999993,9.069999999999993,12.58498681837102
subject06,8,35.0,55.0,1.1941,71.64,1.05,63.0,63.0,-8.64,8.64,12.06030150753769
subject06,9,40.0,60.0,1.1933,71.6,1.05,63.0,63.0,-8.599999999999994,8.599999999999994,12.011173184357535
subject06,10,45.0,65.0,1.179,70.74,1.05,63.0,78.0,-7.739999999999995,7.739999999999995,10.941475826972004
subject06,11,50.0,70.0,1.1835,71.01,1.3,78.0,63.0,6.989999999999995,6.989999999999995,9.843683988170673
subject06,12,55.0,75.0,1.1817,70.9,1.3,78.0,78.0,7.099999999999994,7.099999999999994,10.01410437235542
subject06,13,60.0,80.0,1.1854,71.12,1.3,78.0,87.0,6.8799999999999955,6.8799999999999955,9.673790776152973
subject06,14,65.0,85.0,1.1929,71.57,1.3,78.0,75.0,6.430000000000007,6.430000000000007,8.98421126170184
subject06,15,70.0,90.0,1.1876,71.26,1.25,75.0,90.0,3.739999999999995,3.739999999999995,5.248386191411724
subject06,16,75.0,95.0,1.1824,70.95,1.25,75.0,57.0,4.049999999999997,4.049999999999997,5.70824524312896
subject06,17,80.0,100.0,1.2002,72.01,1.05,63.0,60.0,-9.010000000000005,9.010000000000005,12.512151090126377
subject06,18,85.0,105.0,1.2015,72.09,1.05,63.0,105.0,-9.090000000000003,9.090000000000003,12.609238451935084
subject06,19,90.0,110.0,1.2085,72.51,1.3,78.0,63.0,5.489999999999995,5.489999999999995,7.5713694662805056
subject06,20,95.0,115.0,1.2365,74.19,1.3,78.0,78.0,3.8100000000000023,3.8100000000000023,5.13546300040437
subject06,21,100.0,120.0,1.2247,73.48,1.3,78.0,78.0,4.519999999999996,4.519999999999996,6.15133369624387
subject06,22,105.0,125.0,1.2416,74.49,1.3,78.0,78.0,3.510000000000005,3.510000000000005,4.712041884816761
subject06,23,110.0,130.0,1.2409,74.45,1.5,90.0,90.0,15.549999999999997,15.549999999999997,20.886501007387505
subject06,24,115.0,135.0,1.2183,73.1,1.5,90.0,102.0,16.900000000000006,16.900000000000006,23.119015047879625
subject06,25,120.0,140.0,1.2109,72.65,1.5,90.0,102.0,17.349999999999994,17.349999999999994,23.881624225739838
subject06,26,125.0,145.0,1.2037,72.22,1.7,102.0,87.0,29.78,29.78,41.23511492661313
subject06,27,130.0,150.0,1.2206,73.23,1.5,90.0,90.0,16.769999999999996,16.769999999999996,22.900450634985656
subject06,28,135.0,155.0,1.2329,73.98,1.45,87.0,102.0,13.019999999999996,13.019999999999996,17.599351175993505
subject06,29,140.0,160.0,1.2329,73.98,1.4,84.0,84.0,10.019999999999996,10.019999999999996,13.544201135442005
subject06,30,145.0,165.0,1.2175,73.05,1.4,84.0,84.0,10.950000000000003,10.950000000000003,14.98973305954826
subject06,31,150.0,170.0,1.2074,72.44,0.9,54.0,54.0,-18.439999999999998,18.439999999999998,25.455549420209827
subject06,32,155.0,175.0,1.2098,72.59,0.9,54.0,54.0,-18.590000000000003,18.590000000000003,25.609588097534097
subject06,33,160.0,180.0,1.2239,73.43,0.9,54.0,54.0,-19.430000000000007,19.430000000000007,26.460574696990335
subject06,34,165.0,185.0,1.2233,73.4,0.9,54.0,108.0,-19.400000000000006,19.400000000000006,26.43051771117167
subject06,35,170.0,190.0,1.2163,72.98,0.9,54.0,63.0,-18.980000000000004,18.980000000000004,26.00712523979173
subject06,36,175.0,195.0,1.2214,73.28,0.9,54.0,54.0,-19.28,19.28,26.310043668122272
subject06,37,180.0,200.0,1.2121,72.73,0.9,54.0,54.0,-18.730000000000004,18.730000000000004,25.752784270589856
subject06,38,185.0,205.0,1.2084,72.51,0.9,54.0,54.0,-18.510000000000005,18.510000000000005,25.52751344642119
subject06,39,190.0,210.0,1.2141,72.84,1.05,63.0,87.0,-9.840000000000003,9.840000000000003,13.509060955518951
subject06,40,195.0,215.0,1.2321,73.92,1.1,66.0,63.0,-7.920000000000002,7.920000000000002,10.714285714285717
subject06,41,200.0,220.0,1.2238,73.43,1.15,69.0,66.0,-4.430000000000007,4.430000000000007,6.032956557265432
subject06,42,205.0,225.0,1.2312,73.87,1.1,66.0,69.0,-7.8700000000000045,7.8700000000000045,10.653851360498177
subject06,43,210.0,230.0,1.2269,73.61,1.1,66.0,75.0,-7.609999999999999,7.609999999999999,10.338269256894444
subject06,44,215.0,235.0,1.1946,71.67,1.05,63.0,60.0,-8.670000000000002,8.670000000000002,12.09711176224362
subject06,45,220.0,240.0,1.2075,72.45,1.0,60.0,57.0,-12.450000000000003,12.450000000000003,17.18426501035197
subject06,46,225.0,245.0,1.2422,74.53,1.0,60.0,63.0,-14.530000000000001,14.530000000000001,19.495505165705087
subject06,47,230.0,250.0,1.2663,75.98,1.0,60.0,60.0,-15.980000000000004,15.980000000000004,21.03185048697026
subject06,48,235.0,255.0,1.2658,75.95,1.05,63.0,60.0,-12.950000000000003,12.950000000000003,17.050691244239637
subject06,49,240.0,260.0,1.2696,76.18,1.2,72.0,78.0,-4.180000000000007,4.180000000000007,5.487004463113687
subject06,50,245.0,265.0,1.2539,75.23,1.25,75.0,75.0,-0.23000000000000398,0.23000000000000398,0.30572909743453935
subject06,51,250.0,270.0,1.271,76.26,1.25,75.0,72.0,-1.2600000000000051,1.2600000000000051,1.6522423288749082
subject06,52,255.0,275.0,1.3178,79.07,1.25,75.0,75.0,-4.069999999999993,4.069999999999993,5.147337801947633
subject06,53,260.0,280.0,1.3317,79.9,1.3,78.0,78.0,-1.9000000000000057,1.9000000000000057,2.3779724655819843
subject06,54,265.0,285.0,1.3324,79.94,1.35,81.0,81.0,1.0600000000000023,1.0600000000000023,1.3259944958719068
subject06,55,270.0,290.0,1.3126,78.76,1.7,102.0,102.0,23.239999999999995,23.239999999999995,29.50736414423564
subject06,56,275.0,295.0,1.2765,76.59,1.7,102.0,102.0,25.409999999999997,25.409999999999997,33.17665491578534
subject06,57,280.0,300.0,1.2622,75.73,1.7,102.0,102.0,26.269999999999996,26.269999999999996,34.68902680575729
subject06,58,285.0,305.0,1.2627,75.76,1.5,90.0,75.0,14.239999999999995,14.239999999999995,18.7961985216473
