subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject04,33,320.0,360.0,1.2977,77.86,0.975,58.5,58.5,-19.36,19.36,24.86514256357565
subject04,34,330.0,370.0,1.2993,77.96,0.975,58.5,60.0,-19.459999999999994,19.459999999999994,24.961518727552583
subject04,35,340.0,380.0,1.2967,77.8,1.0,60.0,60.0,-17.799999999999997,17.799999999999997,22.87917737789203
subject04,36,350.0,390.0,1.2757,76.54,1.0,60.0,60.0,-16.540000000000006,16.540000000000006,21.609615887117855
subject04,37,360.0,400.0,1.253,75.18,0.975,58.5,52.5,-16.680000000000007,16.680000000000007,22.186751795690352
subject04,38,370.0,410.0,1.2381,74.28,0.875,52.5,52.5,-21.78,21.78,29.321486268174475
subject04,39,380.0,420.0,1.2372,74.23,0.875,52.5,60.0,-21.730000000000004,21.730000000000004,29.27387848578742
subject05,1,0.0,40.0,1.1341,68.05,1.05,63.0,63.0,-5.049999999999997,5.049999999999997,7.421013960323288
subject05,2,10.0,50.0,1.1218,67.31,1.05,63.0,63.0,-4.310000000000002,4.310000000000002,6.403209032833162
subject05,3,20.0,60.0,1.145,68.7,1.05,63.0,63.0,-5.700000000000003,5.700000000000003,8.296943231441052
subject05,4,30.0,70.0,1.1335,68.01,1.1,66.0,69.0,-2.010000000000005,2.010000000000005,2.955447728275261
subject05,5,40.0,80.0,1.1388,68.33,1.1,66.0,69.0,-2.3299999999999983,2.3299999999999983,3.409922435240741
subject05,6,50.0,90.0,1.1413,68.48,1.125,67.5,67.5,-0.980000000000004,0.980000000000004,1.431074766355146
subject05,7,60.0,100.0,1.1268,67.61,1.125,67.5,67.5,-0.10999999999999943,0.10999999999999943,0.16269782576541847
subject05,8,70.0,110.0,1.1142,66.85,1.15,69.0,66.0,2.1500000000000057,2.1500000000000057,3.216155572176523
subject05,9,80.0,120.0,1.1121,66.73,1.15,69.0,66.0,2.269999999999996,2.269999999999996,3.401768320095903
subject05,10,90.0,130.0,1.114,66.84,1.15,69.0,70.5,2.1599999999999966,2.1599999999999966,3.2315978456014314
subject05,11,100.0,140.0,1.1311,67.86,1.175,70.5,69.0,2.6400000000000006,2.6400000000000006,3.8903625110521673
subject05,12,110.0,150.0,1.155,69.3,1.175,70.5,76.5,1.2000000000000028,1.2000000000000028,1.7316017316017358
subject05,13,120.0,160.0,1.1486,68.92,1.175,70.5,78.0,1.5799999999999983,1.5799999999999983,2.292513058618686
subject05,14,130.0,170.0,1.1293,67.76,1.175,70.5,87.0,2.739999999999995,2.739999999999995,4.043683589138126
subject05,15,140.0,180.0,1.1054,66.32,1.275,76.5,87.0,10.180000000000007,10.180000000000007,15.34981905910737
subject05,16,150.0,190.0,1.0756,64.54,1.275,76.5,55.5,11.959999999999994,11.959999999999994,18.53114347691353
subject05,17,160.0,200.0,1.0705,64.23,1.1,66.0,63.0,1.769999999999996,1.769999999999996,2.755721625408681
subject05,18,170.0,210.0,1.0778,64.67,1.1,66.0,66.0,1.3299999999999983,1.3299999999999983,2.0565950208752097
subject05,19,180.0,220.0,1.0829,64.98,1.1,66.0,85.5,1.019999999999996,1.019999999999996,1.5697137580794027
